name,description,jql_template,placeholders,example,notes
active_release,Find all active release features in RHDHPlan,project=rhdhplan AND issuetype=feature AND component=release AND status != closed,None,project=rhdhplan AND issuetype=feature AND component=release AND status != closed,Returns release tracking issues with key dates in description
open_issues,Find all open issues for a specific release version,"project IN (RHIDP, RHDHBugs, RHDHPLAN, RHDHSUPP) AND fixVersion = ""{{RELEASE_VERSION}}"" and status != closed",{{RELEASE_VERSION}},"project IN (RHIDP, RHDHBugs, RHDHPLAN, RHDHSUPP) AND fixVersion = ""1.9.0"" and status != closed",Base query for all open issues in a release
open_issues_by_type,Find open issues for a release filtered by issue type,"project IN (RHIDP, RHDHBugs, RHDHPLAN, RHDHSUPP) AND fixVersion = ""{{RELEASE_VERSION}}"" AND status != closed AND issuetype = ""{{ISSUE_TYPE}}""","{{RELEASE_VERSION}}, {{ISSUE_TYPE}}","project IN (RHIDP, RHDHBugs, RHDHPLAN, RHDHSUPP) AND fixVersion = ""1.9.0"" AND status != closed AND issuetype = ""Bug""","Use with issue types: Feature, Epic, Story, Task, Sub-task, Bug, Vulnerability, Weakness"
epics,Find open EPICs not in Dev Complete or Release Pending,"project IN (RHIDP) AND fixVersion = ""{{RELEASE_VERSION}}"" and issuetype = epic and status not in (closed, ""Release Pending"", ""Dev Complete"")",{{RELEASE_VERSION}},"project IN (RHIDP) AND fixVersion = ""1.9.0"" and issuetype = epic and status not in (closed, ""Release Pending"", ""Dev Complete"")",Identifies EPICs that need attention before release
cves,Find all CVE issues (vulnerabilities and weaknesses),"project IN (RHIDP,rhdhbugs) AND fixVersion = ""{{RELEASE_VERSION}}"" and issuetype in (weakness, Vulnerability, bug) and summary ~ ""CVE*""",{{RELEASE_VERSION}},"project IN (RHIDP,rhdhbugs) AND fixVersion = ""1.9.0"" and issuetype in (weakness, Vulnerability, bug) and summary ~ ""CVE*""",Critical for security tracking before release
feature_demos,Find features tagged for demonstration,"project in (RHDHPlan,RHIDP) AND issuetype = feature AND labels = demo AND fixVersion = ""{{RELEASE_VERSION}}"" AND status != closed",{{RELEASE_VERSION}},"project in (RHDHPlan,RHIDP) AND issuetype = feature AND labels = demo AND fixVersion = ""1.9.0"" AND status != closed",Features that need demo preparation
feature_subtasks,Find feature subtasks for acceptance criteria verification,"project in (RHDHPlan) AND issuetype = sub-task AND fixVersion = ""{{RELEASE_VERSION}}"" AND status != closed",{{RELEASE_VERSION}},"project in (RHDHPlan) AND issuetype = sub-task AND fixVersion = ""1.9.0"" AND status != closed",Tracks feature verification and demo creation tasks
test_day_features,Find features designated for Test Day,"Project in (RHDHPlan, rhidp) AND issuetype = feature AND labels = rhdh-testday AND fixVersion = ""{{RELEASE_VERSION}}"" AND status != closed",{{RELEASE_VERSION}},"Project in (RHDHPlan, rhidp) AND issuetype = feature AND labels = rhdh-testday AND fixVersion = ""1.9.0"" AND status != closed",Features ready for Test Day validation
features_added_to_release,Find features added to release in last 14 days,"project in (RHDHPlan,rhidp) AND issuetype = feature AND fixVersion = ""{{RELEASE_VERSION}}"" AND fixversion changed after -14d",{{RELEASE_VERSION}},"project in (RHDHPlan,rhidp) AND issuetype = feature AND fixVersion = ""1.9.0"" AND fixversion changed after -14d",Tracks scope changes to release
release_notes,Find issues missing Release Note Type field,"project in (RHIDP, ""Red Hat Developer Hub Bugs"", ""RHDH Support"", rhdhplan) and issuetype in (Feature, bug) and ""Release Note Type"" is EMPTY and fixVersion = ""{{RELEASE_VERSION}}""",{{RELEASE_VERSION}},"project in (RHIDP, ""Red Hat Developer Hub Bugs"", ""RHDH Support"", rhdhplan) and issuetype in (Feature, bug) and ""Release Note Type"" is EMPTY and fixVersion = ""1.9.0""",Critical for documentation - must be filled before release
feature_freeze_issues,Find feature work outstanding at Feature Freeze,"project IN (RHIDP, RHDHBugs, RHDHPLAN, RHDHSUPP) AND fixVersion = ""{{RELEASE_VERSION}}"" and resolution is EMPTY AND component not in (AI, Build, Certification, ""Continuous Improvement"", Documentation, Knowledge, Performance, Quality, Quickstart, Release, ""RHDH Local"", Security, Segment, Serviceability, Support, ""Team Operations"", ""Test Framework"", ""Test Infrastructure"", ""Upstream & Community"", UX) AND Type not in (Bug, Vulnerability, sub-task) AND status not in (""Dev Complete"", ""Release Pending"", Done, Closed) AND (labels is EMPTY OR labels != stretch-goal)",{{RELEASE_VERSION}},"project IN (RHIDP, RHDHBugs, RHDHPLAN, RHDHSUPP) AND fixVersion = ""1.9.0"" and resolution is EMPTY AND component not in (...) AND Type not in (Bug, Vulnerability, sub-task) AND status not in (""Dev Complete"", ""Release Pending"", Done, Closed) AND (labels is EMPTY OR labels != stretch-goal)",Excludes infrastructure/ops components and bugs. Use for Feature Freeze announcements.
code_freeze_issues,Find all issues outstanding at Code Freeze,"project IN (RHIDP, RHDHBugs, RHDHPLAN, RHDHSUPP) AND fixVersion = ""{{RELEASE_VERSION}}"" and status != closed",{{RELEASE_VERSION}},"project IN (RHIDP, RHDHBugs, RHDHPLAN, RHDHSUPP) AND fixVersion = ""1.9.0"" and status != closed",All open work. Use for Code Freeze announcements.
